age,time,area,marital_status,income,job_description,gender,commuting_means,commute_distance_km
21,evening,Akinyele,married,24000,student,male,okada,6.6
33,afternoon,Ring Road,married,108000,civil servant,female,private car,11.5
20,morning,Mokola,married,2000,student,male,okada,10.3
27,morning,Apata,single,94000,teacher,male,tricycle,4.8
40,morning,Apata,married,68000,civil servant,female,commercial bus,20.3
22,afternoon,Iwo Road,married,46000,shop attendant,male,commercial bus,11.1
37,morning,Moniya,married,76000,teacher,male,tricycle,10.0
37,night,Ring Road,married,92000,teacher,male,okada,7.2
36,afternoon,Apata,married,48000,teacher,female,commercial bus,14.5
24,morning,Iwo Road,single,69000,driver,male,tricycle,10.4
18,afternoon,Mokola,single,0,unemployed,female,micra,15.2
34,morning,Akinyele,married,53000,teacher,female,private car,26.4
21,morning,Agbowo,single,0,unemployed,female,micra,2.7
30,morning,Agbowo,single,440000,business owner,female,private car,9.0
37,evening,Apata,married,335000,business owner,female,private car,12.4
42,afternoon,Moniya,married,55000,civil servant,female,tricycle,15.5
18,morning,Challenge,married,0,unemployed,female,micra,8.9
45,night,Apata,married,38000,teacher,female,walking,1.6
44,morning,Moniya,married,38000,teacher,male,tricycle,9.2
25,morning,Challenge,married,110000,sales representative,male,tricycle,10.5
39,evening,Agbowo,married,98000,market trader,male,okada,6.0
24,afternoon,Agbowo,single,0,unemployed,female,micra,10.3
18,morning,Iwo Road,single,29000,shop attendant,female,commercial bus,8.5
47,morning,Mokola,married,80000,trader,female,tricycle,5.3
24,morning,Bodija,single,34000,shop attendant,male,private car,17.5
18,morning,Dugbe,married,0,unemployed,female,okada,11.1
33,afternoon,Mokola,married,86000,mechanic,male,micra,3.4
27,evening,Moniya,married,72000,civil servant,female,tricycle,16.9
43,morning,Challenge,married,60000,mechanic,male,commercial bus,13.0
33,afternoon,Mokola,single,95000,artisan,male,tricycle,5.7
38,morning,Challenge,married,122000,civil servant,female,commercial bus,7.7
55,afternoon,Ring Road,married,154000,business owner,female,tricycle,9.9
42,afternoon,Apata,single,30000,market trader,female,commercial bus,30.6
54,morning,Moniya,single,48000,market trader,female,commercial bus,25.1
25,morning,Bodija,married,47000,tailor,female,tricycle,1.6
34,morning,Iwo Road,married,53000,teacher,female,commercial bus,14.4
26,afternoon,Ring Road,married,150000,market trader,female,commercial bus,16.8
35,evening,Dugbe,married,35000,artisan,male,micra,9.0
36,afternoon,Challenge,married,163000,civil servant,female,private car,8.6
43,morning,Dugbe,married,114000,market trader,female,okada,11.9
18,morning,Ring Road,single,0,unemployed,male,micra,14.0
38,evening,Apata,married,226000,business owner,female,private car,17.0
26,morning,Ring Road,married,189000,civil servant,male,private car,10.2
32,night,Agbowo,married,52000,teacher,female,tricycle,1.0
56,afternoon,Dugbe,married,120000,civil servant,male,commercial bus,7.1
28,morning,Dugbe,married,36000,mechanic,male,micra,4.3
32,afternoon,Apata,married,49000,mechanic,male,okada,7.7
27,morning,Challenge,single,29000,market trader,male,commercial bus,16.6
28,afternoon,Dugbe,single,93000,teacher,female,commercial bus,15.2
18,morning,Bodija,single,18000,student,male,tricycle,4.3
30,evening,Mokola,single,97000,trader,female,tricycle,9.4
36,afternoon,Mokola,married,96000,civil servant,female,private car,13.1
18,afternoon,Bodija,single,34000,security guard,male,tricycle,2.4
51,afternoon,Iwo Road,married,151000,civil servant,male,private car,3.7
48,evening,Apata,single,71000,trader,male,micra,22.0
37,morning,Bodija,married,100000,trader,female,micra,4.5
34,morning,Dugbe,married,44000,sales representative,male,private car,9.9
18,morning,Ring Road,single,24000,student,female,okada,10.1
32,afternoon,Bodija,married,110000,civil servant,male,micra,15.0
18,evening,Iwo Road,single,41000,shop attendant,male,private car,2.7
27,night,Akinyele,married,37000,sales representative,male,tricycle,4.8
26,morning,Dugbe,married,115000,business owner,male,commercial bus,6.0
43,afternoon,Bodija,married,59000,mechanic,male,tricycle,10.7
40,afternoon,Moniya,married,499000,business owner,male,private car,32.6
34,morning,Iwo Road,married,111000,trader,female,private car,4.6
20,afternoon,Iwo Road,single,0,unemployed,female,tricycle,7.2
28,afternoon,Akinyele,single,41000,trader,female,private car,14.6
42,morning,Akinyele,married,88000,artisan,male,okada,11.7
44,morning,Bodija,single,64000,teacher,female,okada,6.8
32,evening,Ring Road,single,166000,civil servant,female,private car,9.9
44,afternoon,Mokola,married,61000,teacher,female,tricycle,10.3
18,morning,Ring Road,single,28000,shop attendant,female,commercial bus,13.1
40,evening,Mokola,married,446000,business owner,female,private car,4.2
47,morning,Challenge,married,40000,business owner,male,okada,5.2
24,afternoon,Ring Road,single,107000,sales representative,male,commercial bus,5.8
35,morning,Akinyele,married,480000,business owner,male,commercial bus,32.4
35,morning,Moniya,married,47000,teacher,female,tricycle,8.3
38,evening,Bodija,married,352000,business owner,male,private car,3.1
31,morning,Ring Road,married,127000,business owner,female,private car,11.5
39,afternoon,Dugbe,married,492000,business owner,male,private car,14.4
19,afternoon,Ring Road,single,40000,shop attendant,male,okada,9.6
36,morning,Apata,married,48000,teacher,female,commercial bus,11.2
24,afternoon,Mokola,single,42000,shop attendant,female,tricycle,2.5
20,evening,Akinyele,single,13000,student,female,commercial bus,14.7
31,morning,Iwo Road,married,131000,civil servant,male,micra,10.8
31,night,Challenge,married,76000,mechanic,male,micra,11.4
46,afternoon,Dugbe,married,83000,artisan,male,commercial bus,12.5
55,evening,Iwo Road,married,88000,business owner,female,commercial bus,9.3
32,morning,Dugbe,single,97000,mechanic,male,commercial bus,17.3
44,morning,Akinyele,married,60000,teacher,male,commercial bus,13.8
54,evening,Iwo Road,married,483000,business owner,female,private car,5.6
44,evening,Mokola,married,97000,teacher,female,commercial bus,2.1
45,morning,Challenge,married,85000,market trader,male,okada,2.5
57,morning,Dugbe,married,83000,trader,male,commercial bus,4.1
25,night,Iwo Road,single,37000,shop attendant,female,commercial bus,2.4
21,afternoon,Dugbe,single,23000,shop attendant,female,commercial bus,5.7
29,afternoon,Moniya,single,63000,teacher,male,commercial bus,30.6
18,evening,Dugbe,single,24000,shop attendant,male,micra,5.4
21,morning,Bodija,single,24000,shop attendant,female,okada,11.0
34,evening,Apata,married,90000,mechanic,male,walking,1.3
30,morning,Challenge,single,63000,teacher,female,walking,1.5
41,afternoon,Dugbe,married,90000,business owner,male,walking,2.3
34,evening,Challenge,married,25000,market trader,male,commercial bus,4.3
28,morning,Iwo Road,married,78000,market trader,male,tricycle,5.5
38,afternoon,Moniya,married,97000,artisan,male,commercial bus,30.3
18,afternoon,Challenge,single,34000,shop attendant,female,commercial bus,11.4
18,morning,Akinyele,married,44000,shop attendant,female,tricycle,3.1
26,morning,Challenge,married,40000,mechanic,male,walking,1.1
44,afternoon,Bodija,married,67000,teacher,male,tricycle,4.4
38,morning,Bodija,married,77000,civil servant,female,okada,3.5
38,morning,Ring Road,married,180000,civil servant,female,commercial bus,8.3
25,morning,Dugbe,married,67000,driver,male,okada,1.0
41,afternoon,Iwo Road,married,46000,teacher,male,commercial bus,11.5
42,morning,Akinyele,married,41000,teacher,female,commercial bus,19.0
29,afternoon,Dugbe,married,110000,sales representative,male,private car,15.4
22,morning,Dugbe,married,0,unemployed,male,okada,4.7
29,morning,Dugbe,single,350000,business owner,female,private car,4.5
55,night,Moniya,married,152000,civil servant,female,private car,20.1
18,afternoon,Challenge,single,0,unemployed,male,micra,11.7
51,afternoon,Moniya,married,172000,civil servant,female,private car,34.7
37,evening,Ring Road,married,102000,civil servant,male,micra,5.8
37,morning,Apata,married,123000,business owner,female,tricycle,7.8
36,afternoon,Apata,married,44000,civil servant,female,okada,7.0
18,morning,Apata,single,2000,student,female,okada,3.0
63,afternoon,Moniya,married,87000,civil servant,male,commercial bus,17.7
27,afternoon,Mokola,married,329000,business owner,male,commercial bus,12.6
29,morning,Dugbe,single,190000,civil servant,male,tricycle,6.7
18,afternoon,Agbowo,single,42000,shop attendant,female,micra,9.3
67,afternoon,Iwo Road,married,168000,business owner,female,micra,5.3
18,evening,Bodija,single,35000,shop attendant,female,tricycle,11.8
37,morning,Iwo Road,married,66000,teacher,female,tricycle,2.8
33,afternoon,Akinyele,single,32000,civil servant,female,tricycle,14.0
23,evening,Apata,single,53000,artisan,male,tricycle,7.0
59,afternoon,Apata,married,48000,trader,female,okada,8.1
45,evening,Dugbe,married,42000,civil servant,female,commercial bus,11.5
31,morning,Dugbe,married,48000,artisan,male,commercial bus,14.8
18,night,Challenge,married,0,unemployed,male,commercial bus,7.7
26,morning,Challenge,single,48000,teacher,female,private car,17.6
30,morning,Agbowo,single,195000,business owner,female,private car,13.0
20,morning,Moniya,married,4000,student,male,walking,1.6
25,evening,Agbowo,married,27000,student,female,commercial bus,6.6
27,morning,Iwo Road,single,462000,business owner,female,private car,4.3
26,morning,Iwo Road,married,388000,business owner,female,okada,11.6
44,morning,Apata,married,139000,trader,female,private car,15.3
18,morning,Mokola,single,25000,security guard,male,walking,2.1
28,morning,Moniya,married,154000,business owner,female,commercial bus,10.1
24,afternoon,Bodija,married,3000,student,female,okada,6.1
25,afternoon,Bodija,single,47000,tailor,female,private car,15.6
42,morning,Iwo Road,married,57000,civil servant,male,commercial bus,6.8
26,morning,Apata,single,60000,mechanic,male,okada,9.5
43,morning,Apata,married,104000,market trader,male,okada,11.9
44,morning,Agbowo,married,152000,civil servant,female,private car,2.0
31,morning,Agbowo,married,193000,civil servant,female,private car,17.0
50,morning,Akinyele,married,150000,trader,male,okada,10.7
39,night,Mokola,married,141000,business owner,female,tricycle,7.8
40,evening,Moniya,married,38000,civil servant,female,micra,32.0
30,afternoon,Mokola,married,278000,business owner,female,private car,8.6
49,evening,Moniya,married,48000,civil servant,female,micra,13.5
37,morning,Dugbe,married,35000,teacher,male,private car,17.3
18,morning,Mokola,single,0,unemployed,male,private car,4.8
30,morning,Agbowo,married,87000,trader,female,micra,13.0
39,morning,Mokola,married,95000,teacher,female,private car,10.9
64,evening,Moniya,married,247000,business owner,male,commercial bus,14.8
58,morning,Bodija,married,31000,civil servant,male,walking,2.2
41,morning,Akinyele,married,39000,civil servant,female,commercial bus,13.8
33,night,Mokola,married,129000,business owner,female,okada,2.1
42,afternoon,Dugbe,married,54000,mechanic,male,okada,10.9
18,morning,Akinyele,single,0,unemployed,male,commercial bus,34.1
19,night,Mokola,married,31000,shop attendant,female,okada,7.5
20,morning,Bodija,single,36000,security guard,male,walking,0.9
33,afternoon,Ring Road,single,85000,civil servant,female,private car,10.1
34,morning,Ring Road,married,420000,business owner,male,commercial bus,6.4
49,afternoon,Dugbe,married,112000,civil servant,female,commercial bus,6.6
28,morning,Iwo Road,married,34000,trader,female,private car,10.8
33,morning,Agbowo,married,70000,teacher,male,okada,5.6
40,morning,Iwo Road,married,73000,civil servant,male,private car,10.6
28,evening,Apata,married,58000,trader,male,micra,23.0
26,evening,Dugbe,married,107000,market trader,male,tricycle,6.0
27,morning,Bodija,married,49000,teacher,female,okada,7.0
52,morning,Challenge,married,33000,civil servant,female,private car,13.8
48,morning,Ring Road,single,42000,teacher,female,okada,5.5
22,morning,Akinyele,single,25000,shop attendant,female,commercial bus,20.7
37,morning,Challenge,married,193000,civil servant,male,commercial bus,4.7
35,morning,Akinyele,married,46000,teacher,female,okada,6.4
56,afternoon,Iwo Road,single,116000,trader,male,commercial bus,15.5
28,evening,Akinyele,married,81000,sales representative,male,tricycle,7.6
40,night,Iwo Road,married,77000,business owner,male,commercial bus,2.9
32,morning,Moniya,single,106000,civil servant,female,private car,11.0
26,morning,Dugbe,married,48000,trader,female,private car,17.4
49,morning,Akinyele,married,61000,mechanic,male,commercial bus,18.4
48,morning,Dugbe,married,121000,trader,female,okada,2.0
47,afternoon,Challenge,married,179000,civil servant,female,commercial bus,17.8
43,afternoon,Iwo Road,married,66000,teacher,male,walking,2.0
34,morning,Mokola,single,490000,business owner,male,micra,14.6
28,morning,Apata,single,30000,civil servant,male,commercial bus,13.2
52,morning,Dugbe,married,89000,civil servant,male,commercial bus,13.5
24,evening,Agbowo,single,68000,tailor,female,okada,10.0
63,morning,Dugbe,married,30000,civil servant,female,okada,6.2
32,morning,Apata,single,53000,driver,male,commercial bus,30.4
18,evening,Apata,single,0,unemployed,female,commercial bus,21.0
52,evening,Apata,married,82000,civil servant,male,tricycle,13.8
43,afternoon,Mokola,married,454000,business owner,female,private car,12.5
29,afternoon,Ring Road,single,89000,driver,male,private car,14.0
43,afternoon,Dugbe,married,150000,civil servant,female,tricycle,11.0
48,afternoon,Dugbe,married,479000,business owner,female,private car,17.3
35,morning,Apata,single,80000,driver,male,okada,6.3
38,morning,Challenge,married,76000,market trader,male,commercial bus,3.9
20,afternoon,Challenge,single,0,unemployed,female,commercial bus,16.1
26,morning,Mokola,married,149000,business owner,female,private car,16.0
36,evening,Ring Road,married,67000,civil servant,female,commercial bus,17.5
46,morning,Mokola,married,381000,business owner,male,commercial bus,14.9
20,evening,Iwo Road,married,0,unemployed,male,okada,2.5
33,morning,Moniya,single,115000,market trader,female,okada,5.4
57,morning,Dugbe,married,175000,business owner,female,commercial bus,13.9
25,evening,Challenge,married,13000,student,male,commercial bus,2.2
21,morning,Agbowo,single,19000,shop attendant,female,walking,1.1
22,afternoon,Agbowo,single,7000,student,male,commercial bus,16.3
23,morning,Iwo Road,married,70000,driver,male,commercial bus,17.5
50,morning,Ring Road,married,126000,business owner,female,walking,1.7
39,morning,Challenge,married,143000,civil servant,male,private car,14.8
31,afternoon,Mokola,married,95000,teacher,male,private car,11.7
18,morning,Mokola,single,28000,shop attendant,female,tricycle,11.6
18,evening,Moniya,married,22000,student,female,okada,5.0
39,afternoon,Challenge,married,43000,artisan,male,micra,12.5
18,evening,Akinyele,married,0,unemployed,female,commercial bus,20.7
41,afternoon,Moniya,married,90000,business owner,female,tricycle,4.8
41,morning,Iwo Road,married,72000,mechanic,male,micra,6.0
46,evening,Iwo Road,married,413000,business owner,female,private car,16.8
18,afternoon,Apata,single,26000,student,female,okada,6.1
25,afternoon,Iwo Road,single,0,student,male,walking,0.9
32,afternoon,Apata,married,324000,business owner,female,private car,25.9
18,afternoon,Apata,single,28000,student,female,commercial bus,34.4
43,afternoon,Akinyele,married,96000,artisan,male,okada,8.3
18,morning,Bodija,single,26000,shop attendant,male,commercial bus,9.0
36,afternoon,Dugbe,single,40000,market trader,male,tricycle,6.2
18,morning,Agbowo,single,39000,security guard,male,commercial bus,4.2
60,morning,Iwo Road,married,142000,trader,male,tricycle,10.4
42,evening,Bodija,married,42000,mechanic,male,walking,1.4
18,afternoon,Challenge,single,1000,student,male,commercial bus,7.5
50,morning,Iwo Road,married,65000,market trader,female,okada,10.9
26,afternoon,Agbowo,married,124000,trader,male,private car,17.0
32,morning,Apata,single,83000,sales representative,male,private car,32.1
26,morning,Moniya,married,39000,driver,male,walking,1.0
20,afternoon,Agbowo,married,42000,shop attendant,male,tricycle,7.3
30,morning,Mokola,married,60000,teacher,female,commercial bus,18.0
36,afternoon,Iwo Road,single,57000,teacher,female,commercial bus,7.6
37,night,Akinyele,married,75000,artisan,male,tricycle,3.3
21,afternoon,Challenge,single,16000,student,female,micra,16.0
18,afternoon,Moniya,married,0,unemployed,female,tricycle,11.1
51,afternoon,Apata,married,42000,market trader,female,okada,11.4
39,morning,Mokola,married,47000,teacher,female,micra,10.2
24,evening,Ring Road,single,88000,driver,male,commercial bus,13.3
21,afternoon,Challenge,single,0,unemployed,male,walking,0.8
41,evening,Akinyele,married,147000,civil servant,male,walking,2.7
18,afternoon,Dugbe,single,37000,security guard,male,tricycle,11.1
28,morning,Dugbe,single,57000,mechanic,male,okada,1.1
20,afternoon,Mokola,single,30000,student,male,tricycle,9.0
26,morning,Dugbe,married,119000,trader,male,okada,2.2
42,evening,Iwo Road,married,88000,mechanic,male,okada,10.0
32,night,Bodija,single,397000,business owner,male,private car,9.0
18,evening,Agbowo,single,0,unemployed,female,walking,0.5
61,evening,Akinyele,married,124000,business owner,male,okada,17.8
54,morning,Agbowo,married,114000,market trader,male,tricycle,3.1
29,morning,Apata,single,67000,civil servant,female,okada,12.9
30,morning,Iwo Road,married,134000,trader,female,commercial bus,6.9
36,night,Iwo Road,married,81000,teacher,female,private car,9.6
34,afternoon,Akinyele,single,90000,civil servant,male,private car,18.1
40,morning,Dugbe,married,29000,artisan,male,okada,9.0
67,afternoon,Akinyele,married,91000,business owner,male,commercial bus,27.8
34,night,Akinyele,married,500000,business owner,female,private car,33.0
31,evening,Ring Road,married,36000,civil servant,male,private car,8.4
32,afternoon,Mokola,married,119000,trader,female,private car,9.4
41,afternoon,Apata,married,98000,market trader,male,commercial bus,31.1
39,afternoon,Akinyele,married,267000,business owner,female,private car,30.8
19,morning,Dugbe,single,41000,shop attendant,female,commercial bus,2.1
30,morning,Moniya,single,91000,teacher,female,private car,21.0
49,morning,Mokola,married,31000,artisan,male,tricycle,1.5
18,afternoon,Iwo Road,single,41000,shop attendant,female,private car,17.1
36,afternoon,Challenge,married,49000,mechanic,male,commercial bus,4.4
18,afternoon,Challenge,single,22000,shop attendant,male,commercial bus,16.9
45,evening,Mokola,married,61000,teacher,female,commercial bus,6.7
26,evening,Bodija,single,142000,business owner,female,micra,2.9
51,afternoon,Moniya,single,325000,business owner,female,private car,30.6
22,morning,Mokola,single,43000,security guard,male,private car,8.7
38,afternoon,Iwo Road,married,40000,artisan,male,okada,3.9
27,morning,Mokola,married,123000,market trader,male,okada,9.9
57,afternoon,Apata,married,60000,business owner,male,tricycle,7.8
36,morning,Bodija,married,102000,trader,female,private car,4.9
35,morning,Moniya,married,36000,trader,female,micra,18.7
18,afternoon,Ring Road,single,14000,student,male,okada,10.7
41,afternoon,Apata,married,68000,artisan,male,private car,24.1
45,morning,Mokola,married,90000,artisan,male,okada,3.1
23,afternoon,Bodija,single,0,unemployed,male,commercial bus,13.5
58,evening,Agbowo,married,76000,civil servant,male,walking,0.4
46,afternoon,Akinyele,single,41000,civil servant,female,tricycle,3.0
35,morning,Ring Road,married,361000,business owner,female,private car,12.8
22,evening,Bodija,single,2000,student,female,tricycle,7.9
25,morning,Mokola,married,0,unemployed,female,tricycle,1.8
27,morning,Challenge,married,138000,trader,male,tricycle,11.7
18,afternoon,Apata,married,47000,shop attendant,female,micra,23.6
42,night,Agbowo,married,97000,mechanic,male,commercial bus,17.6
37,morning,Akinyele,married,44000,market trader,female,private car,20.2
37,evening,Ring Road,married,436000,business owner,male,private car,10.7
19,morning,Moniya,single,0,unemployed,male,commercial bus,34.0
42,afternoon,Challenge,married,475000,business owner,female,private car,16.6
42,morning,Moniya,married,48000,teacher,female,walking,2.3
45,morning,Apata,married,80000,artisan,male,private car,22.1
18,morning,Apata,single,46000,shop attendant,female,okada,5.5
32,morning,Apata,single,134000,market trader,female,okada,10.7
25,evening,Akinyele,single,64000,tailor,female,commercial bus,21.8
48,morning,Challenge,married,37000,teacher,male,micra,9.5
30,afternoon,Dugbe,married,424000,business owner,male,commercial bus,15.5
49,morning,Akinyele,married,37000,civil servant,female,tricycle,4.9
48,morning,Bodija,married,199000,civil servant,female,private car,9.7
44,afternoon,Dugbe,married,62000,teacher,female,tricycle,4.6
22,morning,Akinyele,single,41000,security guard,male,okada,6.6
28,afternoon,Dugbe,married,77000,trader,female,okada,9.3
30,morning,Iwo Road,married,77000,driver,male,okada,11.5
25,afternoon,Challenge,married,72000,artisan,male,tricycle,7.5
37,morning,Agbowo,married,57000,teacher,male,micra,5.2
35,morning,Bodija,married,76000,artisan,male,private car,5.9
24,afternoon,Akinyele,single,7000,student,female,commercial bus,22.0
45,morning,Moniya,married,54000,business owner,male,okada,5.4
18,morning,Dugbe,single,11000,student,male,tricycle,8.7
42,afternoon,Apata,married,491000,business owner,male,tricycle,13.2
18,morning,Dugbe,single,9000,student,male,tricycle,10.9
32,evening,Apata,married,48000,market trader,male,commercial bus,27.7
37,afternoon,Apata,married,49000,civil servant,female,micra,34.8
45,afternoon,Agbowo,married,132000,civil servant,male,private car,5.0
18,morning,Akinyele,single,30000,security guard,male,commercial bus,12.3
21,morning,Challenge,married,0,unemployed,male,tricycle,10.7
46,morning,Agbowo,married,398000,business owner,male,tricycle,10.0
33,afternoon,Apata,single,30000,driver,male,okada,15.2
28,afternoon,Iwo Road,single,40000,trader,female,commercial bus,10.3
20,morning,Bodija,single,23000,security guard,male,tricycle,3.5
45,afternoon,Akinyele,married,65000,mechanic,male,tricycle,14.9
50,morning,Mokola,married,106000,market trader,female,commercial bus,6.4
18,morning,Challenge,single,0,unemployed,male,walking,1.0
22,night,Ring Road,married,0,unemployed,female,tricycle,11.3
36,morning,Mokola,married,74000,artisan,male,okada,11.6
29,afternoon,Apata,married,146000,trader,male,commercial bus,34.9
28,morning,Ring Road,married,140000,market trader,female,commercial bus,11.6
23,evening,Agbowo,single,43000,driver,male,okada,6.3
18,afternoon,Apata,married,20000,shop attendant,female,commercial bus,22.2
34,morning,Moniya,married,97000,artisan,male,tricycle,15.3
27,morning,Ring Road,single,66000,teacher,female,commercial bus,13.6
43,night,Apata,married,31000,artisan,male,micra,25.0
24,evening,Iwo Road,single,79000,artisan,male,tricycle,1.2
29,afternoon,Apata,married,87000,driver,male,commercial bus,33.0
33,afternoon,Bodija,married,48000,teacher,male,tricycle,10.0
38,evening,Challenge,married,92000,teacher,female,commercial bus,12.9
19,morning,Mokola,single,14000,student,male,walking,0.8
27,afternoon,Apata,married,36000,artisan,male,private car,27.7
18,morning,Moniya,single,4000,student,female,tricycle,6.8
42,afternoon,Mokola,married,50000,teacher,male,private car,5.5
30,evening,Moniya,married,40000,teacher,female,commercial bus,32.5
40,morning,Bodija,married,69000,market trader,female,commercial bus,4.6
30,evening,Challenge,married,103000,civil servant,female,tricycle,9.6
27,afternoon,Akinyele,single,281000,business owner,female,private car,24.3
45,afternoon,Akinyele,married,49000,artisan,male,okada,3.7
45,morning,Iwo Road,married,285000,business owner,female,private car,8.1
32,morning,Akinyele,single,123000,trader,female,okada,14.3
18,morning,Apata,married,29000,student,male,commercial bus,32.6
42,morning,Apata,married,37000,teacher,male,commercial bus,17.4
37,morning,Moniya,married,37000,trader,female,tricycle,12.4
32,morning,Bodija,married,95000,teacher,female,okada,4.8
44,afternoon,Apata,married,33000,mechanic,male,commercial bus,13.1
18,morning,Mokola,single,23000,shop attendant,male,micra,17.0
34,morning,Bodija,single,64000,teacher,female,micra,14.9
41,evening,Akinyele,married,25000,artisan,male,okada,10.3
27,morning,Ring Road,single,376000,business owner,female,private car,3.0
32,evening,Iwo Road,single,222000,business owner,male,commercial bus,8.9
36,afternoon,Moniya,single,25000,market trader,male,commercial bus,25.4
59,morning,Apata,married,355000,business owner,male,private car,17.5
22,evening,Apata,single,33000,security guard,male,commercial bus,31.9
45,evening,Akinyele,married,124000,business owner,female,tricycle,9.5
27,afternoon,Challenge,married,38000,mechanic,male,walking,0.4
38,evening,Iwo Road,married,112000,trader,female,tricycle,3.5
28,morning,Akinyele,single,275000,business owner,male,private car,29.7
61,morning,Ring Road,married,113000,business owner,male,private car,7.0
47,evening,Apata,married,143000,civil servant,female,tricycle,14.3
27,morning,Akinyele,married,66000,market trader,female,commercial bus,29.1
25,evening,Iwo Road,married,118000,sales representative,male,micra,7.0
34,morning,Akinyele,married,42000,sales representative,male,okada,14.7
53,afternoon,Agbowo,married,443000,business owner,male,commercial bus,16.9
18,evening,Iwo Road,married,0,unemployed,female,commercial bus,7.9
32,morning,Moniya,single,199000,business owner,female,commercial bus,33.3
18,afternoon,Bodija,single,4000,student,male,walking,0.9
46,evening,Iwo Road,married,67000,civil servant,female,walking,2.2
25,morning,Moniya,single,87000,artisan,male,private car,23.5
49,morning,Agbowo,married,96000,artisan,male,tricycle,2.1
42,morning,Iwo Road,married,429000,business owner,female,private car,13.5
49,afternoon,Moniya,married,78000,teacher,male,okada,15.5
49,morning,Challenge,married,111000,civil servant,female,okada,2.3
31,morning,Moniya,married,138000,civil servant,female,okada,7.4
39,morning,Dugbe,married,141000,market trader,male,okada,5.9
39,morning,Agbowo,married,56000,civil servant,female,walking,0.9
34,morning,Akinyele,married,97000,civil servant,female,tricycle,14.4
18,morning,Moniya,single,28000,security guard,male,walking,0.5
22,morning,Akinyele,married,0,unemployed,female,okada,5.1
39,afternoon,Mokola,married,379000,business owner,female,tricycle,6.7
45,afternoon,Moniya,married,49000,civil servant,female,tricycle,10.8
34,evening,Apata,married,442000,business owner,female,private car,27.4
41,afternoon,Ring Road,married,51000,teacher,female,commercial bus,16.6
39,morning,Ring Road,married,59000,market trader,female,okada,2.9
47,afternoon,Mokola,married,64000,business owner,female,okada,8.6
26,morning,Iwo Road,married,32000,market trader,female,okada,3.1
48,morning,Challenge,married,110000,trader,male,tricycle,8.0
49,morning,Apata,married,500000,business owner,female,walking,0.7
54,morning,Bodija,married,104000,civil servant,male,private car,6.8
51,afternoon,Agbowo,married,118000,civil servant,male,tricycle,3.5
23,afternoon,Apata,single,41000,tailor,female,tricycle,11.6
27,morning,Akinyele,married,32000,market trader,male,tricycle,3.6
18,afternoon,Bodija,married,0,unemployed,male,tricycle,9.2
42,morning,Iwo Road,single,37000,trader,male,walking,2.5
18,evening,Ring Road,single,0,unemployed,male,micra,7.2
36,afternoon,Agbowo,married,130000,market trader,female,walking,0.5
32,morning,Ring Road,married,79000,mechanic,male,okada,3.6
24,afternoon,Bodija,single,20000,shop attendant,male,commercial bus,11.0
38,morning,Akinyele,married,134000,civil servant,female,micra,13.3
49,morning,Mokola,single,72000,teacher,female,micra,2.1
31,afternoon,Ring Road,married,181000,business owner,male,walking,1.2
34,morning,Apata,married,111000,civil servant,male,tricycle,13.4
27,morning,Apata,married,91000,mechanic,male,commercial bus,15.0
24,afternoon,Apata,single,74000,driver,male,okada,17.9
35,morning,Iwo Road,married,341000,business owner,female,private car,16.8
37,morning,Dugbe,married,94000,teacher,female,private car,9.5
38,afternoon,Ring Road,married,70000,teacher,female,commercial bus,11.0
37,morning,Bodija,single,127000,civil servant,male,tricycle,4.4
32,evening,Akinyele,married,93000,market trader,female,tricycle,9.8
18,afternoon,Apata,single,13000,student,male,okada,17.7
32,afternoon,Mokola,single,45000,driver,male,micra,12.7
40,evening,Dugbe,married,122000,market trader,male,tricycle,9.1
37,morning,Moniya,single,135000,trader,female,commercial bus,17.3
62,morning,Mokola,married,45000,civil servant,female,commercial bus,11.9
28,night,Challenge,married,65000,teacher,female,okada,7.1
51,morning,Agbowo,married,97000,civil servant,female,micra,17.9
41,evening,Moniya,married,170000,civil servant,male,tricycle,9.2
27,morning,Challenge,married,91000,teacher,male,tricycle,8.8
40,evening,Bodija,married,61000,civil servant,male,micra,6.0
47,morning,Apata,married,49000,civil servant,female,commercial bus,23.3
38,evening,Agbowo,married,86000,teacher,female,tricycle,2.4
49,afternoon,Iwo Road,married,163000,civil servant,female,private car,11.3
50,afternoon,Dugbe,married,83000,teacher,female,tricycle,5.9
38,evening,Akinyele,married,100000,artisan,male,okada,17.9
26,morning,Ring Road,married,147000,trader,female,tricycle,7.8
21,morning,Apata,single,12000,student,female,walking,2.1
37,evening,Agbowo,married,109000,civil servant,male,private car,2.5
18,afternoon,Dugbe,married,50000,shop attendant,female,okada,11.0
37,morning,Apata,married,129000,trader,female,okada,12.3
27,morning,Agbowo,married,424000,business owner,male,private car,7.0
66,night,Ring Road,married,404000,business owner,male,private car,15.6
41,afternoon,Moniya,married,85000,teacher,female,tricycle,11.2
33,morning,Challenge,single,56000,artisan,male,walking,2.2
29,morning,Akinyele,married,94000,trader,female,okada,9.6
33,evening,Challenge,married,67000,teacher,male,commercial bus,14.8
23,morning,Akinyele,single,35000,driver,male,okada,13.8
32,afternoon,Iwo Road,married,88000,artisan,male,commercial bus,14.9
19,evening,Iwo Road,single,0,unemployed,male,okada,1.5
25,morning,Moniya,single,63000,sales representative,male,tricycle,8.4
